id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,manual_sentiment,is_tagged,cleaned_text,emojis,emoji_count,has_question,has_exclamation,has_caps,word_count,char_count,positive_keywords,negative_keywords,punctuation_count,avg_word_length,sentence_count,hour,ml_sentiment,ml_confidence,ml_probabilities,ml_prob_negative,ml_prob_neutral,ml_prob_positive,model_type
17916725130140290,Drink tap water buy banana,2000boostedintegra,2025-08-09 22:47:26+00:00,https://www.threads.com/@2000boostedintegra/post/DNJszG0y4Kk,TEXT_POST,,26,True,False,neutral,yes,drink tap wat buy banana,,0,False,False,False,5,26,0,0,0,4.4,1,22,neutral,0.79,"{np.str_('negative'): 0.2, np.str_('neutral'): 0.79, np.str_('positive'): 0.01}",0.2,0.79,0.01,traditional
17872900746404887,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,549pr11,2025-08-10 18:29:28+00:00,https://www.threads.com/@549pr11/post/DNL0Ei0OXpH,TEXT_POST,,262,True,False,negative,yes,let these people have their sugar they want just have them sign wavi relinquish their government health benefit you can use our money poor food choice then expect pay your medical bill for the condition your poor choice cause,,0,False,False,False,46,262,0,0,3,4.673913043478261,3,18,negative,0.87,"{np.str_('negative'): 0.87, np.str_('neutral'): 0.01, np.str_('positive'): 0.12}",0.87,0.01,0.12,traditional
18086721091699789,Butter or peanut butter will work too and are cheaper and healthier,8bit_geek,2025-08-10 00:09:44+00:00,https://www.threads.com/@8bit_geek/post/DNJ2NyxOcfd,TEXT_POST,,67,True,False,neutral,yes,butt peanut butt will work too and are cheap and healthi,,0,False,False,False,12,67,0,0,0,4.666666666666667,1,0,neutral,0.7,"{np.str_('negative'): 0.25, np.str_('neutral'): 0.7, np.str_('positive'): 0.05}",0.25,0.7,0.05,traditional
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,https://www.threads.com/@8point5_/post/DNN-A5LRmz_,TEXT_POST,,38,True,False,negative,yes,not just unpopular incorrect,,0,False,False,False,6,38,1,1,0,5.5,1,14,negative,0.96,"{np.str_('negative'): 0.96, np.str_('neutral'): 0.03, np.str_('positive'): 0.01}",0.96,0.03,0.01,traditional
17862445431448677,Sounds like you just listed some bs excuses and it checks out lol,8point5_,2025-08-11 14:35:35+00:00,https://www.threads.com/@8point5_/post/DNN-GYbRZZc,65,TRUE,65,True,,negative,yes,sound like you just list some excuse and check out lol,,0,False,False,False,13,65,0,0,0,4.076923076923077,1,14,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.01, np.str_('positive'): 0.01}",0.98,0.01,0.01,traditional
17869199895423290,Beans or rice would be better. Diabetes kills!,a.blnknshp,2025-08-09 21:14:15+00:00,https://www.threads.com/@a.blnknshp/post/DNJiIiHSE2z,TEXT_POST,,46,True,False,negative,yes,bean rice would bett diabete kill,,0,False,True,False,8,46,0,0,2,4.875,2,21,negative,0.97,"{np.str_('negative'): 0.97, np.str_('neutral'): 0.0, np.str_('positive'): 0.03}",0.97,0.0,0.03,traditional
18090165847739693,"im thirsty now, im going to drink some fruit punch :D",a10rawmilkenjoyer,2025-08-10 04:27:56+00:00,https://www.threads.com/@a10rawmilkenjoyer/post/DNKTw6wOidB,TEXT_POST,,53,True,False,neutral,yes,thirsty now going drink some fruit punch,,0,False,False,False,11,53,0,1,2,3.909090909090909,1,4,neutral,0.65,"{np.str_('negative'): 0.3, np.str_('neutral'): 0.65, np.str_('positive'): 0.05}",0.3,0.65,0.05,traditional
18059492378077594,Make better choices.,aaronhohlt,2025-08-10 17:05:42+00:00,https://www.threads.com/@aaronhohlt/post/DNLqfCFNJyu,TEXT_POST,,20,True,False,negative,yes,make bett choice,,0,False,False,False,3,20,0,0,1,6.0,1,17,negative,0.9,"{np.str_('negative'): 0.9, np.str_('neutral'): 0.0, np.str_('positive'): 0.1}",0.9,0.0,0.1,traditional
18333992812207626,I care more about my tax dollars going towards bombs being dropped on kids halfway across the world and going into the pockets of the military industrial complex.  I'd rather someone get fed than pay for another bomb to get dropped on civilians. better to help the people in need than the war criminals who have everything,abigail_saoirse_finnegan,2025-08-10 17:33:32+00:00,https://www.threads.com/@abigail_saoirse_finnegan/post/DNLtq7DoauA,TEXT_POST,,322,True,False,positive,yes,care more about tax dollar going toward bomb being dropp kid halfway acros the world and going into the pocket the military industrial complex rath someone get fed than pay for anoth bomb get dropp civilian bett help the people need than the war criminal who have everyth,,0,False,False,False,57,322,0,1,2,4.649122807017544,3,17,positive,0.73,"{np.str_('negative'): 0.21, np.str_('neutral'): 0.06, np.str_('positive'): 0.73}",0.21,0.06,0.73,traditional
18052967072431131,You're obese ma'am. You're a burden to the food stamp and medical system. Respectfully,acceptannce,2025-08-10 15:31:34+00:00,https://www.threads.com/@acceptannce/post/DNLftgvNGx7,TEXT_POST,,86,True,False,negative,yes,you obese you burden the food stamp and medical system respectful,,0,False,False,False,14,86,1,0,2,5.214285714285714,3,15,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
18074327471060018,Wait until you won’t be able to buy pop with your SNAP benefits… It’s a new thing coming next year so good luck to ya 😂,acrane82,2025-08-10 03:08:56+00:00,https://www.threads.com/@acrane82/post/DNKKuWhsanI,TEXT_POST,,119,True,False,negative,yes,wait until you won able buy pop with your snap benefit new thing com next year good luck,😂,1,False,False,True,25,119,1,0,0,3.72,1,3,negative,0.91,"{np.str_('negative'): 0.91, np.str_('neutral'): 0.07, np.str_('positive'): 0.02}",0.91,0.07,0.02,traditional
18090613804734001,Bun length ball park hot dogs are $2.97.,adamc_rk,2025-08-10 21:05:16+00:00,https://www.threads.com/@adamc_rk/post/DNMF5sHyVc0,40,TRUE,40,True,,negative,yes,bun length ball park hot dog are,,0,False,False,False,8,40,0,0,2,4.125,2,21,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
18280397170279536,Never in my life have I been hungry and thought oh a soda will take care of my hunger,adamtyler182,2025-08-11 04:05:56+00:00,https://www.threads.com/@adamtyler182/post/DNM2CrbRQpR,TEXT_POST,,85,True,False,negative,yes,nev life have been hungry and thought soda will take care hung,,0,False,False,False,19,85,0,1,0,3.526315789473684,1,4,negative,0.94,"{np.str_('negative'): 0.94, np.str_('neutral'): 0.02, np.str_('positive'): 0.04}",0.94,0.02,0.04,traditional
18416397850101304,"I’ve been to the point where I’ve had to buy a box of pancake mix and make it last a week, for EVERY meal. Not because I love pancakes, but because it was the cheapest and most filling thing I could think of that would make more than one meal. 
Sometimes it’s not about the healthiest or tastiest option. Sometimes it’s about finding what will sustain you the longest. 
Too many people don’t even TRY to understand situations they’ve never been put in.",adriannaaa_roseee,2025-08-10 00:21:43+00:00,https://www.threads.com/@adriannaaa_roseee/post/DNJ3lqIhf5i,TEXT_POST,,454,True,False,positive,yes,been the point where had buy box pancake mix and make last week for every meal not because love pancake but because was the cheap and most fill thing could think that would make more than one meal sometime not about the healthi tasti option sometime about find what will sustain you the long too many people don even try understand situation they nev been put,,0,False,False,True,83,454,1,2,7,4.433734939759036,5,0,positive,0.73,"{np.str_('negative'): 0.17, np.str_('neutral'): 0.1, np.str_('positive'): 0.73}",0.17,0.1,0.73,traditional
17882248521242616,You're definitely no nutritional authority,adventuremington,2025-08-10 17:08:47+00:00,https://www.threads.com/@adventuremington/post/DNLq1lmOZIl,TEXT_POST,,42,True,False,negative,yes,you definite nutritional authority,,0,False,False,False,5,42,1,1,0,7.6,1,17,negative,0.95,"{np.str_('negative'): 0.95, np.str_('neutral'): 0.05, np.str_('positive'): 0.0}",0.95,0.05,0.0,traditional
17855893353484431,"I will drink a coke to fill me up when I’m too busy to take a lunch break, or didn’t bring lunch from home and can’t spend the money on takeout. It’s just about getting through the day sometimes.",aedwards37,2025-08-10 10:45:33+00:00,https://www.threads.com/@aedwards37/post/DNK--vlO0rq,TEXT_POST,,195,True,False,positive,yes,will drink coke fill when too busy take lunch break didn bring lunch from home and can spend the money takeout just about gett through the day sometime,,0,False,False,False,39,195,0,0,3,4.0256410256410255,2,10,positive,0.55,"{np.str_('negative'): 0.41, np.str_('neutral'): 0.04, np.str_('positive'): 0.55}",0.41,0.04,0.55,traditional
18016212770762009,Beggers can't be choosers. Be grateful for the money the government took from someone else and gave to you.,afreeman_livingthedream,2025-08-09 22:22:07+00:00,https://www.threads.com/@afreeman_livingthedream/post/DNJp5ltyj1l,TEXT_POST,,107,True,False,negative,yes,begger can chooser grateful for the money the government took from someone else and gave you,,0,False,False,False,19,107,1,0,2,4.684210526315789,2,22,negative,0.9,"{np.str_('negative'): 0.9, np.str_('neutral'): 0.0, np.str_('positive'): 0.1}",0.9,0.0,0.1,traditional
18525729460056360,Maybe show a little gratitude over entitlement and you'll get a very different reply from people.,afreeman_livingthedream,2025-08-09 22:34:46+00:00,https://www.threads.com/@afreeman_livingthedream/post/DNJrWUjty3W,97,TRUE,97,True,,negative,yes,maybe show little gratitude over entitlement and you get very different rep from people,,0,False,False,False,16,97,0,0,1,5.125,1,22,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
18525729460056360,Maybe show a little gratitude over entitlement and you'll get a very different reply from people.,afreeman_livingthedream,2025-08-09 22:34:46+00:00,https://www.threads.com/@afreeman_livingthedream/post/DNJrWUjty3W,97,TRUE,97,True,,negative,yes,maybe show little gratitude over entitlement and you get very different rep from people,,0,False,False,False,16,97,0,0,1,5.125,1,22,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
17908790040084703,"Girl! I hear you! Sometimes I just don’t feel like eating 🥣 anything (I’m not poor, just picky) and I drink a soda 🥤 and life is better! Especially when I’m at work, (I’m a nurse👩🏼‍⚕️)",ahuffangel,2025-08-10 07:52:09+00:00,https://www.threads.com/@ahuffangel/post/DNKrIpEOa4a,TEXT_POST,,184,True,False,positive,yes,girl hear you sometime just don feel like eat anyth not poor just picky and drink soda and life bett especial when work nurse,🥣🥤👩🏼‍⚕️,3,False,True,False,34,184,0,1,5,4.176470588235294,4,7,positive,0.65,"{np.str_('negative'): 0.31, np.str_('neutral'): 0.04, np.str_('positive'): 0.65}",0.31,0.04,0.65,traditional
18107281396530322,You could buy a bag of apples for 3 dollars,ahwrx,2025-08-11 06:55:36+00:00,https://www.threads.com/@ahwrx/post/DNNJdZuukfE,TEXT_POST,,43,True,False,neutral,yes,you could buy bag apple for dollar,,0,False,False,False,10,43,0,0,0,3.4,1,6,neutral,0.74,"{np.str_('negative'): 0.24, np.str_('neutral'): 0.74, np.str_('positive'): 0.02}",0.24,0.74,0.02,traditional
18320872864227522,"Yeah when I had my first job, I had enough money for vending machine lunches
 So it was a bag of potato chips and a can of mountain do. Wasn't the healthiest, but it was better than chips and water, or even two bags of chips.",aicaicem,2025-08-10 17:35:48+00:00,https://www.threads.com/@aicaicem/post/DNLt7cTx7VZ,TEXT_POST,,226,True,False,positive,yes,yeah when had first job had enough money for vend machine lunche was bag potato chip and can mountain wasn the healthi but was bett than chip and wat even two bag chip,,0,False,False,False,46,226,0,1,5,3.891304347826087,2,17,positive,0.81,"{np.str_('negative'): 0.1, np.str_('neutral'): 0.09, np.str_('positive'): 0.81}",0.1,0.09,0.81,traditional
18164387911325049,"Yeah when I had my first job, I had enough money for vending machine lunches
 So it was a bag of potato chips and a can of mountain do. Wasn't the healthiest, but it was better than chips and water, or even two bags of chips.",aicaicem,2025-08-10 17:35:35+00:00,https://www.threads.com/@aicaicem/post/DNLt56BxlxP,TEXT_POST,,226,True,False,positive,yes,yeah when had first job had enough money for vend machine lunche was bag potato chip and can mountain wasn the healthi but was bett than chip and wat even two bag chip,,0,False,False,False,46,226,0,1,5,3.891304347826087,2,17,positive,0.81,"{np.str_('negative'): 0.1, np.str_('neutral'): 0.09, np.str_('positive'): 0.81}",0.1,0.09,0.81,traditional
17941920054018964,"also people with t1 diabetes need access to sugary drinks! it helps them get their blood sugar up much faster than food, so if they're dropping quickly it's much better to have a soda on hand",alaina_k_burr,2025-08-10 19:47:56+00:00,https://www.threads.com/@alaina_k_burr/post/DNL9DMkBozS,TEXT_POST,,191,True,False,positive,yes,also people with diabete need acces sugary drink help them get their blood sugar much fast than food they dropp quick much bett have soda hand,,0,False,True,False,36,191,0,0,2,4.333333333333333,2,19,positive,0.71,"{np.str_('negative'): 0.29, np.str_('neutral'): 0.0, np.str_('positive'): 0.71}",0.29,0.0,0.71,traditional
18074571070989784,1 banana and 1 Apple would be a better option.,alemorales_123,2025-08-10 18:56:19+00:00,https://www.threads.com/@alemorales_123/post/DNL3JQIvfM8,TEXT_POST,,46,True,False,negative,yes,banana and apple would bett option,,0,False,False,False,10,46,0,0,1,3.7,1,18,negative,0.88,"{np.str_('negative'): 0.88, np.str_('neutral'): 0.07, np.str_('positive'): 0.05}",0.88,0.07,0.05,traditional
18124832446462834,You know what's even better than a $3 jug of soda. 3-6 cans of beans for $3 which could feed you for a couple days. Has protein and fiber to stave off hunger and actual nutrition.,alex.w.burton,2025-08-10 01:04:16+00:00,https://www.threads.com/@alex.w.burton/post/DNJ8dRwM7va,TEXT_POST,,179,True,False,negative,yes,you know what even bett than jug soda can bean for which could feed you for couple day has protein and fib stave off hung and actual nutrition,,0,False,False,False,36,179,0,1,3,4.0,3,1,negative,0.97,"{np.str_('negative'): 0.97, np.str_('neutral'): 0.02, np.str_('positive'): 0.01}",0.97,0.02,0.01,traditional
17948938712880719,"SNAP sounds for Supplemental Nutrition Assistance Program. Soda, while enjoyable to drink, is made up of empty calories and is largely bereft of nutritional value. If the taxpayer is forced to pay for your “nutrition” it should be nutritious, not a sugary treat.",alexbitzan,2025-08-10 20:41:42+00:00,https://www.threads.com/@alexbitzan/post/DNMDNEYJJI-,TEXT_POST,,262,True,False,negative,yes,snap sound for supplemental nutrition assistance program soda while enjoyable drink made empty calorie and large bereft nutritional value the taxpay forc pay for your nutrition should nutritiou not sugary treat,,0,False,False,True,43,262,0,2,6,5.116279069767442,3,20,negative,0.92,"{np.str_('negative'): 0.92, np.str_('neutral'): 0.01, np.str_('positive'): 0.07}",0.92,0.01,0.07,traditional
17887706862204892,Spoken like a true big back,alexd_1231,2025-08-11 15:28:23+00:00,https://www.threads.com/@alexd_1231/post/DNOEJErR-rM,TEXT_POST,,27,True,False,negative,yes,spoken like true big back,,0,False,False,False,6,27,0,0,0,3.6666666666666665,1,15,negative,0.82,"{np.str_('negative'): 0.82, np.str_('neutral'): 0.13, np.str_('positive'): 0.05}",0.82,0.13,0.05,traditional
18079100842901113,Who gives af what’s satiating to someone or not,alexisokayaf,2025-08-10 07:21:46+00:00,https://www.threads.com/@alexisokayaf/post/DNKnqIktOMv,TEXT_POST,,47,True,False,negative,yes,who give what satiat someone not,,0,False,False,False,9,47,0,1,0,4.333333333333333,1,7,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.02, np.str_('positive'): 0.0}",0.98,0.02,0.0,traditional
17883071709356957,Well in that case get sugar and water. Still comes up less expensive than soda 🤷🏻‍♀️,aliceblin,2025-08-10 01:46:50+00:00,https://www.threads.com/@aliceblin/post/DNKBVF8RtFn,TEXT_POST,,84,True,False,negative,yes,well that case get sugar and wat still come les expensive than soda,🤷🏻‍♀️,1,False,False,False,15,84,0,0,1,4.266666666666667,2,1,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.02, np.str_('positive'): 0.0}",0.98,0.02,0.0,traditional
18075249640824392,Been through all 3. Have low sugar issues and I still agree with my tax paying dollars to fund something healthier. An apple is around 1$ and would work best than sugar. It’s a simple/complex carb thing. Look it up if you worry about these things you say you do!,aliceblin,2025-08-10 01:48:03+00:00,https://www.threads.com/@aliceblin/post/DNKBd-YxDxk,262,TRUE,262,True,,negative,yes,been through all have low sugar issue and still agree with tax pay dollar fund someth healthi apple around and would work best than sugar simple complex carb thing look you worry about these thing you say you,,0,False,True,False,50,262,1,0,5,4.26,5,1,negative,0.44,"{np.str_('negative'): 0.44, np.str_('neutral'): 0.24, np.str_('positive'): 0.32}",0.44,0.24,0.32,traditional
18159828703335582,Snap seem to be feeding you well babe.,aliciasmiff,2025-08-10 08:49:53+00:00,https://www.threads.com/@aliciasmiff/post/DNKxvk9u__k,TEXT_POST,,38,True,False,negative,yes,snap seem feed you well babe,,0,False,False,False,8,38,0,0,1,3.875,1,8,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.01, np.str_('positive'): 0.01}",0.98,0.01,0.01,traditional
18372731287181265,"There’s plenty of other beverages you can drink. Sugar in most available soda pop is high fructose corn syrup, very far from regular sugar",allik4tt,2025-08-10 00:59:29+00:00,https://www.threads.com/@allik4tt/post/DNJ76LpAimp,TEXT_POST,,138,True,False,negative,yes,there plenty oth beverage you can drink sugar most available soda pop high fructose corn syrup very far from regular sugar,,0,False,False,False,24,138,0,0,2,4.791666666666667,2,0,negative,0.89,"{np.str_('negative'): 0.89, np.str_('neutral'): 0.08, np.str_('positive'): 0.03}",0.89,0.08,0.03,traditional
18015338225769096,"You’re right, it is unpopular.",almanaylor1,2025-08-10 14:41:02+00:00,https://www.threads.com/@almanaylor1/post/DNLZ7gAu65z,TEXT_POST,,30,True,False,negative,yes,you right unpopular,,0,False,False,False,5,30,1,0,2,5.2,1,14,negative,1.0,"{np.str_('negative'): 1.0, np.str_('neutral'): 0.0, np.str_('positive'): 0.0}",1.0,0.0,0.0,traditional
18114759985512086,You need to lay off the sugar not than a little hun.,alock_23,2025-08-10 06:37:44+00:00,https://www.threads.com/@alock_23/post/DNKinnsN-Qm,TEXT_POST,,52,True,False,negative,yes,you need lay off the sugar not than little hun,,0,False,False,False,12,52,0,1,1,3.4166666666666665,1,6,negative,0.91,"{np.str_('negative'): 0.91, np.str_('neutral'): 0.07, np.str_('positive'): 0.02}",0.91,0.07,0.02,traditional
18231247015294607,"Actual soda would be one of the worst things to buy if you are hungry and only have 3$. There are plenty of cheap alternatives that offer some nutrients, are shelf stable and filling like a jar of peanut butter. Soda  doesn't have any protein, fiber or fat, which makes you feel full and stay full, but also the high sugar and caffeine can cause dehydration.",amanda_belleglass,2025-08-11 04:45:46+00:00,https://www.threads.com/@amanda_belleglass/post/DNM6mZqOltJ,TEXT_POST,,358,True,False,negative,yes,actual soda would one the worst thing buy you are hungry and only have there are plenty cheap alternative that off some nutrient are shelf stable and fill like jar peanut butt soda doesn have any protein fib fat which make you feel full and stay full but also the high sugar and caffeine can cause dehydration,,0,False,False,False,66,358,0,0,7,4.424242424242424,3,4,negative,0.86,"{np.str_('negative'): 0.86, np.str_('neutral'): 0.07, np.str_('positive'): 0.07}",0.86,0.07,0.07,traditional
18087441070761322,Something that also has sugar (naturally from the fruit) and is liquid? Orange juice. And it will still be covered. But so many better more filling things can be purchased for $3,amandagracephoto.co,2025-08-10 04:17:07+00:00,https://www.threads.com/@amandagracephoto.co/post/DNKShzBto4P,TEXT_POST,,178,True,False,negative,yes,someth that also has sugar natural from the fruit and liquid orange juice and will still cover but many bett more fill thing can purchas for,,0,True,False,False,32,178,0,0,3,4.59375,4,4,negative,0.82,"{np.str_('negative'): 0.82, np.str_('neutral'): 0.13, np.str_('positive'): 0.05}",0.82,0.13,0.05,traditional
18102296536506523,Oink,americainteresting2,2025-08-10 23:46:21+00:00,https://www.threads.com/@americainteresting2/post/DNMYVfypBhL,TEXT_POST,,4,True,False,negative,yes,oink,,0,False,False,False,1,4,0,0,0,4.0,1,23,negative,0.85,"{np.str_('negative'): 0.85, np.str_('neutral'): 0.15, np.str_('positive'): 0.0}",0.85,0.15,0.0,traditional
17934003837074108,I don’t suppose you’ve heard of a salad,americainteresting2,2025-08-10 23:46:35+00:00,https://www.threads.com/@americainteresting2/post/DNMYXLUJoLF,39,TRUE,39,True,,negative,yes,don suppose you heard salad,,0,False,False,False,8,39,0,0,0,4.0,1,23,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.01, np.str_('positive'): 0.01}",0.98,0.01,0.01,traditional
18069347930117599,This is the stupidest thing I have read all day,andrew_aldridge,2025-08-10 10:48:54+00:00,https://www.threads.com/@andrew_aldridge/post/DNK_XNQutZS,TEXT_POST,,47,True,False,negative,yes,thi the stupid thing have read all day,,0,False,False,False,10,47,0,1,0,3.8,1,10,negative,0.98,"{np.str_('negative'): 0.98, np.str_('neutral'): 0.0, np.str_('positive'): 0.02}",0.98,0.0,0.02,traditional
17980673282909512,I've been both. And I say that SNAP cutting off sugary food is awesome,angelic_syns,2025-08-10 02:52:24+00:00,https://www.threads.com/@angelic_syns/post/DNKI1OdsNTf,70,TRUE,70,True,,negative,yes,been both and say that snap cutt off sugary food awesome,,0,False,False,True,14,70,1,0,1,4.071428571428571,2,2,negative,0.99,"{np.str_('negative'): 0.99, np.str_('neutral'): 0.0, np.str_('positive'): 0.01}",0.99,0.0,0.01,traditional
17980673282909512,I've been both. And I say that SNAP cutting off sugary food is awesome,angelic_syns,2025-08-10 02:52:24+00:00,https://www.threads.com/@angelic_syns/post/DNKI1OdsNTf,70,TRUE,70,True,,negative,yes,been both and say that snap cutt off sugary food awesome,,0,False,False,True,14,70,1,0,1,4.071428571428571,2,2,negative,0.99,"{np.str_('negative'): 0.99, np.str_('neutral'): 0.0, np.str_('positive'): 0.01}",0.99,0.0,0.01,traditional
18147369376396714,I don’t think soda is ever a good option regardless unless you’re drinking it with whiskey,angelnoel_96_19_20_21_23,2025-08-10 18:55:48+00:00,https://www.threads.com/@angelnoel_96_19_20_21_23/post/DNL3FbAJmOc,TEXT_POST,,90,True,False,negative,yes,don think soda ever good option regardles unles you drink with whiskey,,0,False,False,False,16,90,1,0,0,4.6875,1,18,negative,0.91,"{np.str_('negative'): 0.91, np.str_('neutral'): 0.03, np.str_('positive'): 0.06}",0.91,0.03,0.06,traditional
17983617746711753,Orrrrr 3 apples,annadparker,2025-08-10 11:46:37+00:00,https://www.threads.com/@annadparker/post/DNLF97gAT8h,TEXT_POST,,15,True,False,negative,yes,orrrrr apple,,0,False,False,False,3,15,0,0,0,4.333333333333333,1,11,negative,0.97,"{np.str_('negative'): 0.97, np.str_('neutral'): 0.03, np.str_('positive'): 0.0}",0.97,0.03,0.0,traditional
18091802401661137,Make spaghetti,apicasso74,2025-08-10 22:23:53+00:00,https://www.threads.com/@apicasso74/post/DNMO5ZXRnqp,TEXT_POST,,14,True,False,negative,yes,make spaghetti,,0,False,False,False,2,14,0,0,0,6.5,1,22,negative,0.86,"{np.str_('negative'): 0.86, np.str_('neutral'): 0.03, np.str_('positive'): 0.11}",0.86,0.03,0.11,traditional
